doc_id,sentence_id,entity_id,text,type,charOffset,source
DDI-MedLine.d203,DDI-MedLine.d203.s0,DDI-MedLine.d203.s0.e0,antidepressants,group,54-68,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s1,DDI-MedLine.d203.s1.e0,antidepressants,group,129-143,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s5,DDI-MedLine.d203.s5.e0,antidepressants,group,68-82,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s6,DDI-MedLine.d203.s6.e0,Selective serotonin reuptake inhibitors,group,0-38,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s6,DDI-MedLine.d203.s6.e1,antidepressant,group,74-87,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s7,DDI-MedLine.d203.s7.e0,antidepressant,group,63-76,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s8,DDI-MedLine.d203.s8.e0,antidepressants,group,42-56,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s9,DDI-MedLine.d203.s9.e0,antidepressants,group,94-108,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s11,DDI-MedLine.d203.s11.e0,antidepressant,group,23-36,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s12,DDI-MedLine.d203.s12.e0,antipsychotic,group,101-113,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s13,DDI-MedLine.d203.s13.e0,anxiolytic,group,87-96,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s13,DDI-MedLine.d203.s13.e1,hypnotic,group,101-108,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s13,DDI-MedLine.d203.s13.e2,antidepressant,group,186-199,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s14,DDI-MedLine.d203.s14.e0,antidepressants,group,35-49,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d203,DDI-MedLine.d203.s16,DDI-MedLine.d203.s16.e0,antidepressant,group,68-81,DDICorpus/Test/Test for DrugNER task/MedLine/21824120.xml
DDI-MedLine.d220,DDI-MedLine.d220.s0,DDI-MedLine.d220.s0.e0,luteolin,drug_n,62-69,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s0,DDI-MedLine.d220.s0.e1,apigenin,drug_n,75-82,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s1,DDI-MedLine.d220.s1.e0,luteolin,drug_n,52-59,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s1,DDI-MedLine.d220.s1.e1,apigenin,drug_n,65-72,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
